entry,at,order
"""pack2loud @ dIFWqyUROl"" calls 0.43",2021-08-30T01:14:44.069Z,163028608406900
"""ben @ li0n-OAYVm"" calls 0.43",2021-08-30T01:14:38.875Z,163028607887500
"""ElitenessPhil @ j2MPOsr78j"" calls 0.43",2021-08-30T01:14:25.396Z,163028606539600
"""alsoben @ 45sBk0_K8w"" raises to 0.43",2021-08-30T01:14:22.416Z,163028606241600
"""Jumbo @ eTmzZ-mj1K"" calls 0.10",2021-08-30T01:14:17.215Z,163028605721500
"""Madison @ 0aXb_7_xTB"" folds",2021-08-30T01:14:01.809Z,163028604180900
"""pack2loud @ dIFWqyUROl"" calls 0.10",2021-08-30T01:14:00.878Z,163028604087800
"""ben @ li0n-OAYVm"" posts a big blind of 0.10",2021-08-30T01:13:52.893Z,163028603289309
"""ElitenessPhil @ j2MPOsr78j"" posts a small blind of 0.05",2021-08-30T01:13:52.893Z,163028603289308
"Your hand is A♣, 10♠",2021-08-30T01:13:52.893Z,163028603289302
"Player stacks: #1 ""ben @ li0n-OAYVm"" (24.93) | #3 ""pack2loud @ dIFWqyUROl"" (8.12) | #4 ""Madison @ 0aXb_7_xTB"" (2.97) | #5 ""Jumbo @ eTmzZ-mj1K"" (15.36) | #6 ""alsoben @ 45sBk0_K8w"" (7.06) | #9 ""ElitenessPhil @ j2MPOsr78j"" (6.72)",2021-08-30T01:13:52.893Z,163028603289301
"-- starting hand #30  (No Limit Texas Hold'em) (dealer: ""alsoben @ 45sBk0_K8w"") --",2021-08-30T01:13:52.893Z,163028603289300
